sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,census_point,1891_total,1891_gaelic,1891_g_pct,1891_mono,1891_mono_pct,lat,lon,gender,yob,orig_lon,orig_lat,fem_gender,aggregate,label_for_conservatism
Strathy Point,137,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,0,0,1,0,1,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North Sutherland,Strathy Point,Strathy,776,684,88,35,0.05,58.557263,-4.0125605,m,1890,-4.0125605,58.557263,FALSE,25,NA
Portskerra,138,1,1,NA,NA,1,1,1,1,NA,1,0,1,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,1,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,North Sutherland,Portskerra,Portskerra,493,444,90,16,0.04,58.558321,-3.9438599,m,1884,-3.9438599,58.558321,FALSE,9,NA
Strath Halladale,139,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North Sutherland,Strath Halladale,Strath Halladale,400,288,72,5,0.02,58.471885,-3.909641,m,1871,-3.909641,58.471885,FALSE,15,NA
Braemore,140,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Caithness,Braemore,Braemore,92,46,50,2,0.04,58.241118,-3.593798,m,1869,-3.593798,58.241118,FALSE,14,NA
West Helmsdale,141,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,West Helmsdale,West Helmsdale,378,229,61,2,0.01,58.112866,-3.6818992,m,1868,-3.6818992,58.112866,FALSE,13,NA
Brora 2,143,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Brora 2,Brora 2,241,111,46,0,0,58.011571000000004,-3.8586437,f,1892,-3.8586437,58.011571000000004,TRUE,11,NA
Golspie,144,1,0,1,1,1,NA,0,1,0,1,NA,0,0,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,NA,NA,1,NA,0,NA,0,NA,0,NA,0,0,0,1,1,0,1,0,0,0,0,NA,0,0,NA,NA,East Sutherland,Golspie,Golspie,934,469,50,5,0.01,57.969618,-3.9926245,m,1883,-3.9926245,57.969618,FALSE,10,NA
Muie,145,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Muie,Muie,312,205,66,10,0.05,58.005229,-4.2522685,m,1878,-4.2522685,58.005229,FALSE,15,NA
Lairg,146,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Lairg,Lairg,315,188,60,0,0,58.020391,-4.4056198,f,1878,-4.4056198,58.020391,TRUE,16,NA
Gruids,147,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,1,0,NA,0,0,0,NA,0,0,0,East Sutherland,Gruids,Lairg,315,188,60,0,0,58.0018,-4.4382215,m,1871,-4.4382215,58.0018,FALSE,15,NA
Airdens,149,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Airdens,Airdens,255,198,78,6,0.03,57.913662,-4.3187724,m,1868,-4.3187724,57.913662,FALSE,14,NA
Migdale,150,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Migdale,Migdale,255,198,78,6,0.03,57.894846,-4.3119579,f,1877,-4.3119579,57.894846,TRUE,14,NA
Embo,151,1,0,1,0,0,1,0,1,0,1,1,0,0,NA,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,1,0,0,0,NA,0,0,NA,NA,0,NA,NA,East Sutherland,Embo,Embo,315,188,60,3,0.02,57.908539,-4.0042796,m,1901,-4.0042796,57.908539,FALSE,7,NA
Amat,152,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Amat,Amatnatua,112,102,91,8,0.08,57.870518,-4.5811017,m,1880,-4.5811017,57.870518,FALSE,15,NA
Rhaanich,153,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,East Sutherland,Rhaanich [recte Edderton],Kincardine,642,381,59,24,0.06,57.805019,-4.1634237,m,1873,-4.1634237,57.805019,FALSE,10,NA
Skinnerton,154,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,East Sutherland,Skinnerton,Tarbat,1703,947,56.00000000000001,58,0.06,57.813209,-3.9079812,m,1879,-3.9079812,57.813209,FALSE,15,NA
Shandwick,155,1,1,1,0,1,NA,0,1,1,1,NA,1,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,0,0,0,NA,0,0,NA,NA,0,NA,NA,Easter Ross,Shandwick,Balintore,361,237,66,8,0.03,57.749927,-3.9338677,f,1888,-3.9338677,57.749927,TRUE,10,NA
Strathy,156,1,1,NA,1,1,1,1,NA,1,NA,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,1,0,NA,0,NA,0,NA,0,0,0,Easter Ross,Strathy,Alness,1038,567,55.00000000000001,16,0.03,57.750426,-4.2817684,m,1874,-4.2817684,57.750426,FALSE,10,NA
Docharty,157,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Easter Ross,Docharty,Dingwall Rural,298,160,54,4,0.03,57.614622,-4.4791976,m,1879,-4.4791976,57.614622,FALSE,16,NA
Knockfarrel,158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Easter Ross,Knockfarrel,Fodderty,1135,805,71,113,0.14,57.58704,-4.5107838,f,1872,-4.5107838,57.58704,TRUE,19,NA
Milton (E Ross),159,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Easter Ross,Milton (E Ross),Contin,708,555,78,23,0.04,57.55304,-4.8427904,m,1867,-4.8427904,57.55304,FALSE,18,NA
Culbokie,160,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Easter Ross,Culbokie,Knockbain,1699,1040,61,65,0.06,57.581586,-4.3263882,f,1874,-4.3263882,57.581586,TRUE,8,NA
Brae of East Kinkell,161,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Easter Ross,Brae of East Kinkell,Conon Bridge,358,191,53,5,0.03,57.553414,-4.3914542,m,1881,-4.3914542,57.553414,FALSE,10,NA
Altyre,162,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Invernesshire,Altyre,Beauly,949,517,55.00000000000001,32,0.06,57.475065,-4.4930848,m,1900,-4.4930848,57.475065,FALSE,15,NA
Loaneckhime,163,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Invernesshire,Loaneckhime,Tomnacross,219,153,70,21,0.14,57.430162,-4.4916951,f,1880,-4.4916951,57.430162,TRUE,18,NA
Balmore,164,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Invernesshire,Balmore,Cannich,104,87,84,1,0.01,57.357504,-4.7444995,m,1889,-4.7444995,57.357504,FALSE,15,NA
Lochletter,166,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,North West Invernesshire,Lochletter,Balnain,298,268,90,71,0.26,57.324782,-4.592537,m,1896,-4.592537,57.324782,FALSE,9,NA
Achnaconeran,167,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,1,0,NA,0,1,0,0,NA,0,0,1,0,0,1,1,0,1,0,0,0,0,NA,0,0,0,0,North West Invernesshire,Achnaconeran,Invermoriston,165,132,80,21,0.16,57.216066,-4.6345961,f,1875,-4.6345961,57.216066,TRUE,17,NA
Dalcreichart,168,1,1,1,1,1,NA,1,1,1,1,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,1,0,NA,1,0,1,0,1,0,0,0,0,0,NA,0,0,1,1,0,1,NA,0,NA,0,0,0,0,0,0,North West Invernesshire,Dalcreichart,Dundreggan & Torgyle,178,154,87,30,0.19,57.216343,-4.6213644,m,1880,-4.6213644,57.216343,FALSE,16,NA
Trinloist 1,169,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Trinloist 1,Inverfarigaig,82,75,92,7,0.09,57.246677,-4.4544279,f,1869,-4.4544279,57.246677,TRUE,16,NA
Trinloist 2,170,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Trinloist 2,Trinloist 2,82,75,92,7,0.09,57.246677,-4.4544279,m,1881,-4.4544279,57.246677,FALSE,17,NA
Loch Uanagan,171,1,1,0,1,1,1,0,1,1,1,1,NA,1,0,1,1,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,North West Invernesshire,Loch Uanagan,Fort Augustus,596,274,46,3,0.01,57.124574,-4.7107091,f,1868,-4.7107091,57.124574,TRUE,17,NA
Invergarry,172,1,1,1,1,1,1,NA,1,1,1,1,NA,1,0,0,1,1,1,1,1,0,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,North West Invernesshire,Invergarry,Invergarry,215,156,73,4,0.03,57.065795,-4.8087067,f,1869,-4.8087067,57.065795,TRUE,22,NA
Easterton,173,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,North East Invernesshire,Easterton,Fisherton,293,150,51,8,0.05,57.534939,-4.0757224,m,1879,-4.0757224,57.534939,FALSE,8,NA
Castleton,174,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,North East Invernesshire,Castleton,Daviot,183,138,75,5,0.04,57.46087,-4.0733046999999996,f,1885,-4.0733046999999996,57.46087,TRUE,9,NA
Milton of Tordarroch,175,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Milton of Tordarroch,Flichity,236,181,77,4,0.02,57.367975,-4.2130589,f,1878,-4.2130589,57.367975,TRUE,17,NA
Càrn Bàn,176,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Càrn Bàn,Flichity,236,181,77,4,0.02,57.294983,-4.2750635,f,1878,-4.2750635,57.294983,TRUE,15,NA
Glenderness,177,1,1,0,1,1,1,1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,1,0,1,0,NA,0,0,0,NA,0,0,0,Moray,Glenferness [recte Terriemore],Druimgush & Dava,309,142,46,0,0,57.456323,-3.766646,f,1862,-3.766646,57.456323,TRUE,14,NA
Ruthven,178,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North East Invernesshire,Ruthven,Ruthven,113,73,65,2,0.03,57.366153,-3.974785,m,1883,-3.974785,57.366153,FALSE,16,NA
Tombain,179,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Moray,Tombain,Grantown-on-Spean,1422,468,33,4,0.01,57.377072,-3.6148025,m,1868,-3.6148025,57.377072,FALSE,8,NA
Rynechkra,180,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Moray,Rynechkra,Auchnahannet & Muckrach,57,28,49,0,0,57.349042,-3.6966702,f,1882,-3.6966702,57.349042,TRUE,7,NA
Boat of Garten,181,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Speyside,Boat of Garten,Boat of Garten,394,237,60,24,0.1,57.253832,-3.7627102,f,1873,-3.7627102,57.253832,TRUE,7,NA
Tulloch,182,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Speyside,Tulloch,Tulloch,253,182,72,5,0.03,57.204779,-3.6852605,f,1860,-3.6852605,57.204779,TRUE,11,NA
Giuslich,183,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Speyside,Giuslich,Aviemore,363,230,63,9,0.04,57.190615,-3.7856788,m,1889,-3.7856788,57.190615,FALSE,15,NA
Moor of Feshie,184,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Badenoch,Moor of Feshie,Dalifours & Kincraig,184,94,51,5,0.05,57.128729,-3.869419,m,1867,-3.869419,57.128729,FALSE,19,NA
Drumguish,185,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Badenoch,Drumguish,Drumguish,223,191,86,2,0.01,57.066091,-3.997115,f,1892,-3.997115,57.066091,TRUE,15,NA
Loch Buie,186,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Badenoch,Loch Buie,Newtonmore,364,267,73,2,0.01,57.067538,-4.1275052,f,1874,-4.1275052,57.067538,TRUE,18,NA
Knock of Clune,187,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Badenoch,Knock of Clune,Newtonmore,364,267,73,2,0.01,57.067538,-4.1275052,m,1890,-4.1275052,57.067538,FALSE,15,NA
Drumgasg,188,0,0,0,NA,0,1,0,0,NA,0,1,NA,NA,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Upper Badenoch,Drumgasg,Drumgasg,139,107,77,3,0.03,57.007154,-4.2903935,f,1889,-4.2903935,57.007154,TRUE,6,NA
Braemar,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aberdeenshire,Braemar,Braemar - Achendryne,301,82,27,0,0,57.000652,-3.4023752,f,1883,-3.4023752,57.000652,TRUE,1,NA
Blair Atholl,190,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,East Perthshire,Blair Atholl,Blair Atholl,326,118,36,0,0,56.790506,-3.8023399,f,1865,-3.8023399,56.790506,TRUE,6,NA
Balnabodach,191,1,1,0,NA,1,1,1,1,NA,0,1,1,NA,1,1,0,1,0,0,NA,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Balnabodach,Tenandry,489,248,51,0,0,56.716465,-3.9458597,m,1873,-3.9458597,56.716465,FALSE,18,NA
Dunalastair,192,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,North West Perthshire,Dunalastair,Kinloch Rannoch,547,399,73,12,0.03,56.695852,-4.1081164,m,1879,-4.1081164,56.695852,FALSE,13,NA
Glenlyon,193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,North West Perthshire,Carie/ Glenlyon,Kinloch Rannoch,547,399,73,12,0.03,56.684303,-4.2544202,m,1872,-4.2544202,56.684303,FALSE,22,NA
Kirkmichael,194,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,NA,NA,NA,0,0,0,0,0,NA,0,0,East Perthshire,Kirkmichael,Kirkmichael,533,215,40,0,0,56.704806,-3.4878825,m,1872,-3.4878825,56.704806,FALSE,7,NA
Ballinluig,195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,East Perthshire,Ballinluig,Logierait,1449,874,60,5,0.01,56.648433,-3.6813811,f,1876,-3.6813811,56.648433,TRUE,2,NA
Kincragie,196,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,NA,0,0,East Perthshire,Kincragie,Dowally,394,218,55.00000000000001,1,0,56.621712,-3.6638938,f,1872,-3.6638938,56.621712,TRUE,6,NA
Carse,197,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,East Perthshire,Carse,Dull,548,417,76,5,0.01,56.612212,-3.9470107,f,1864,-3.9470107,56.612212,TRUE,11,NA
Fortinghall,198,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,North West Perthshire,Fortinghall,Fortinghall,476,388,82,88,0.23,56.598865,-4.0505804,m,1872,-4.0505804,56.598865,FALSE,6,NA
Woodend,199,0,1,1,1,1,NA,0,0,1,0,NA,1,1,0,0,0,NA,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,North West Perthshire,Woodend,Glenlyon,297,226,76,8,0.04,56.597098,-4.1026114,f,1899,-4.1026114,56.597098,TRUE,12,NA
Roroyare,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Roroyare,Glenlyon,297,226,76,8,0.04,56.59424,-4.265341,m,1873,-4.265341,56.59424,FALSE,27,NA
Acharn,201,0,0,0,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,1,NA,0,0,0,NA,1,0,0,NA,NA,0,0,NA,0,0,1,0,0,1,NA,0,NA,0,NA,0,0,NA,NA,North West Perthshire,Acharn,Kenmore,1038,702,68,12,0.02,56.562269,-4.0355798,m,1874,-4.0355798,56.562269,FALSE,5,NA
Carie,202,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Carie,Glenlyon,297,226,76,8,0.04,56.505348,-4.211282,f,1884,-4.211282,56.505348,TRUE,14,NA
Tullochan,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Tullochan,Ardeonaig,279,242,87,9,0.04,56.487967,-4.1777838,f,1891,-4.1777838,56.487967,TRUE,18,NA
Wester Lix,204,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Wester Lix,Killin Rural,527,359,68,5,0.01,56.43054,-4.3691276,f,1868,-4.3691276,56.43054,TRUE,20,NA
Tyndrum,205,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,NA,0,0,1,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Tyndrum,Strathfillan,1360,521,38,53,0.1,56.451791,-4.7103921,m,1870,-4.7103921,56.451791,FALSE,21,NA
Balquidder,206,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,South West Perthshire,Balquidder,Balquidder,728,446,61,18,0.04,56.361495,-4.3792989,m,1875,-4.3792989,56.361495,FALSE,12,NA
Brig o' Turk,207,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,South West Perthshire,Brig o' Turk,The Trossachs,302,158,52,1,0.01,56.235708,-4.377542,m,1869,-4.377542,56.235708,FALSE,14,NA
